id	year	growth	site	farm	land	long	lat	ln_cover	site.rich	ln_site.rich	site.FRic	feedagg.FRic	substrate.FRic	diet.FRic	nestagg.FRic	movements.FRic	lnmass.FRic	large	small	v.small	flocking	non-flocking	aerial	canopy	ground	under	invert	nectar	seeds	varied	colonial	non-colonial	local	nomadic	partial
2002-S-PAEC-1	2002	oldgrowth	PAEC-1	Paec	Walla Walla	146.86809	-35.71213	2.564949357	23	3.135494216	0.363152282	2	4	4	2	3	3.378014852	6	12	5	13	10	1	10	10	2	14	1	5	3	8	15	13	3	7
2002-S-PAEC-2	2002	regrowth	PAEC-2	Paec	Walla Walla	146.87153	-35.70999	2.302585093	20	2.995732274	0.33879566	2	2	4	2	3	3.19467678	4	12	4	15	5	0	12	8	0	11	2	5	2	10	10	11	4	5
2002-S-PAEC-3	2002	oldgrowth	PAEC-3	Paec	Walla Walla	146.87404	-35.69222	0	10	2.302585093	0.228321381	2	2	4	2	4	2.649051314	5	4	1	6	4	0	3	7	0	6	1	1	2	2	8	7	1	1
2002-S-PAEC-4	2002	regrowth	PAEC-4	Paec	Walla Walla	146.85269	-35.70395	1.386294361	10	2.302585093	0.222245998	2	2	5	2	3	3.031145761	4	4	2	7	3	0	5	5	0	3	1	2	3	5	5	8	1	1
2002-S-PARK-1	2002	oldgrowth	PARK-1	Park	Tabletop	147.07761	-35.90767	0	11	2.397895273	0.372942804	2	2	4	2	2	2.609126228	2	6	3	8	3	0	6	5	0	4	2	2	3	4	7	8	0	3
2002-S-PARK-2	2002	regrowth	PARK-2	Park	Tabletop	147.08943	-35.89597	2.302585093	19	2.944438979	0.337627737	2	2	4	2	3	2.653073246	4	11	4	13	6	0	13	6	0	13	1	2	3	7	12	11	4	4
2002-S-PARK-3	2002	oldgrowth	PARK-3	Park	Tabletop	147.09381	-35.89936	1.098612289	13	2.564949357	0.270385921	2	2	4	2	3	3.031145761	5	5	3	9	4	0	6	7	0	6	2	1	4	4	9	10	1	2
2002-S-PARK-4	2002	regrowth	PARK-4	Park	Tabletop	147.10094	-35.90074	1.098612289	18	2.890371758	0.321330489	2	2	4	2	3	2.219920865	6	10	2	12	6	0	12	6	0	12	1	3	2	7	11	10	4	4
2002-S-PARS-1	2002	planting	PARS-1	Pars	Humula	147.7639161	-35.3355031	0	10	2.302585093	0.31671539	2	3	5	2	3	2.72527505	2	3	5	5	5	0	5	4	1	5	1	1	2	2	8	6	1	3
2002-S-PARS-2	2002	planting	PARS-2	Pars	Humula	147.7628119	-35.3245458	0	14	2.63905733	0.323330561	2	4	4	2	3	3.694378578	6	4	4	13	1	1	8	4	1	8	2	2	2	6	8	8	2	4
2002-S-PARS-3	2002	planting	PARS-3	Pars	Humula	147.76027	-35.33287	0	10	2.302585093	0.242411623	2	4	4	2	2	2.578513769	2	5	3	7	3	1	3	4	2	6	1	2	1	4	6	8	0	2
2002-S-PARS-4	2002	oldgrowth	PARS-4	Pars	Humula	147.7579125	-35.325352	0	12	2.48490665	0.281907592	2	3	4	2	3	3.19467678	4	5	3	11	1	0	7	4	1	3	2	5	2	6	6	7	1	4
2002-S-PATT-1	2002	regrowth	PATT-1	Patt	Tabletop	147.01151	-35.85768	0	8	2.079441542	0.274533214	2	2	3	2	3	2.145065811	2	5	1	6	2	0	3	5	0	5	1	2	0	5	3	5	1	2
2002-S-PATT-2	2002	regrowth	PATT-2	Patt	Tabletop	147.01341	-35.85865	0	6	1.791759469	0.151921332	2	2	3	2	3	2.07742522	1	4	1	2	4	0	1	5	0	4	1	0	1	1	5	3	1	2
2002-S-PATT-3	2002	oldgrowth	PATT-3	Patt	Tabletop	147.00833	-35.86574	0	16	2.772588722	0.329428471	2	4	4	2	3	2.459519667	5	8	3	13	3	1	8	6	1	10	1	3	2	8	8	9	0	5
2002-S-PATT-4	2002	oldgrowth	PATT-4	Patt	Tabletop	147.01315	-35.86713	0	12	2.48490665	0.294013336	2	2	4	2	3	3.19467678	5	5	2	9	3	0	4	8	0	5	1	4	2	6	6	9	1	2
2002-S-PICK-1	2002	oldgrowth	PICK-1	Pick	Bethungra	147.8334714	-34.8408503	0	12	2.48490665	0.223233868	2	2	4	2	3	2.676766819	4	6	2	10	2	0	6	6	0	6	0	3	2	7	5	8	3	1
2002-S-PICK-2	2002	oldgrowth	PICK-2	Pick	Bethungra	147.8519575	-34.8378908	0	7	1.945910149	0.18411688	2	3	4	2	2	2.446220275	4	2	1	6	1	1	3	3	0	2	0	3	1	4	3	6	0	1
2002-S-PICK-3	2002	oldgrowth	PICK-3	Pick	Bethungra	147.8549936	-34.8311335	0	10	2.302585093	0.331099701	2	2	3	2	3	2.527160258	2	6	2	7	3	0	4	6	0	5	2	3	0	5	5	6	1	3
2002-S-PICK-4	2002	regrowth	PICK-4	Pick	Bethungra	147.8471939	-34.7999159	0.693147181	7	1.945910149	0.100161714	1	3	3	2	2	2.320307287	4	2	1	7	0	1	3	3	0	1	0	4	2	4	3	6	0	1
2002-S-RAYN-1	2002	oldgrowth	RAYN-1	Rayn	Gerogerie	146.88662	-35.79104	0.693147181	9	2.197224577	0.286579418	2	2	3	2	3	2.653073246	5	3	1	8	1	0	2	7	0	3	0	4	2	5	4	6	2	1
2002-S-RAYN-2	2002	oldgrowth	RAYN-2	Rayn	Gerogerie	146.8891	-35.78266	1.945910149	12	2.48490665	0.276079003	2	3	3	2	4	2.541952121	6	5	1	10	2	0	5	6	1	6	0	4	2	5	7	9	1	1
2002-S-RAYN-3	2002	oldgrowth	RAYN-3	Rayn	Gerogerie	146.88277	-35.78419	1.098612289	6	1.791759469	0.188505856	2	2	3	2	3	2.527160258	3	2	1	5	1	0	3	3	0	2	0	2	2	3	3	4	1	1
2002-S-RAYN-4	2002	oldgrowth	RAYN-4	Rayn	Gerogerie	146.87645	-35.78359	0.693147181	8	2.079441542	0.290504376	2	2	3	2	2	2.858056508	5	1	2	7	1	0	4	4	0	3	0	3	2	3	5	7	0	1
2002-S-REID-1	2002	regrowth	REID-1	Reid	Howlong	146.70908	-35.93302	1.386294361	9	2.197224577	0.217831776	2	2	4	2	2	1.70777423	7	2	0	8	1	0	4	5	0	2	0	3	3	3	6	8	0	1
2002-S-REID-2	2002	regrowth	REID-2	Reid	Howlong	146.71833	-35.93162	0	9	2.197224577	0.249499751	1	2	3	2	2	2.653073246	5	3	1	9	0	0	4	5	0	4	0	3	2	4	5	8	0	1
2002-S-REID-3	2002	regrowth	REID-3	Reid	Howlong	146.71584	-35.9261	0.693147181	9	2.197224577	0.110387484	2	2	3	2	1	1.70777423	6	3	0	8	1	0	3	6	0	2	0	4	3	4	5	9	0	0
2002-S-REID-4	2002	regrowth	REID-4	Reid	Howlong	146.71725	-35.92356	0	12	2.48490665	0.230711252	2	2	4	2	3	2.541952121	6	5	1	10	2	0	6	6	0	5	0	4	2	6	6	9	2	1
2002-S-RETI-1	2002	oldgrowth	RETI-1	Reti	Ladysmith	147.5370127	-35.247394	1.098612289	8	2.079441542	0.251237068	2	2	3	2	2	3.031145761	4	3	1	6	2	0	3	5	0	2	0	3	3	4	4	7	0	1
2002-S-RETI-2	2002	oldgrowth	RETI-2	Reti	Ladysmith	147.536268	-35.2511483	1.386294361	9	2.197224577	0.3354137	2	2	4	2	3	1.78166452	2	6	1	8	1	0	6	3	0	5	1	2	1	5	4	5	1	3
2002-S-RETI-3	2002	oldgrowth	RETI-3	Reti	Ladysmith	147.5344199	-35.2542854	0	13	2.564949357	0.263801694	2	2	3	2	3	3.031145761	4	8	1	8	5	0	4	9	0	6	0	3	4	6	7	9	1	3
2002-S-RETI-4	2002	regrowth	RETI-4	Reti	Ladysmith	147.5176317	-35.2469825	1.386294361	17	2.833213344	0.373232957	2	3	4	2	3	3.156747918	3	10	4	14	3	0	10	6	1	13	1	1	2	8	9	10	4	3
2002-S-SCHI-1	2002	oldgrowth	SCHI-1	Schi	Burumbuttock	146.7825474	-35.773709	0	9	2.197224577	0.18764312	2	3	4	2	2	2.527160258	5	2	2	8	1	1	4	4	0	3	0	3	2	5	4	7	0	2
2002-S-SCHI-2	2002	planting	SCHI-2	Schi	Burumbuttock	146.76454	-35.78671	0.693147181	11	2.397895273	0.287512604	2	3	4	2	3	2.07742522	4	6	1	8	3	0	4	6	1	5	1	3	2	4	7	8	1	2
2002-S-SCHI-3	2002	planting	SCHI-3	Schi	Burumbuttock	146.77608	-35.7659	0	8	2.079441542	0.226063756	2	2	4	2	2	2.07742522	3	4	1	6	2	0	3	5	0	4	1	2	1	3	5	6	2	0
2002-S-SCHI-4	2002	planting	SCHI-4	Schi	Burumbuttock	146.77544	-35.76936	0	4	1.386294361	0.19027254	2	3	3	2	1	2.046944017	1	1	2	2	2	0	1	2	1	2	1	1	0	1	3	4	0	0
2002-S-SCHO-1	2002	regrowth	SCHO-1	Scho	Cookadinia	147.09109	-35.55783	0.693147181	7	1.945910149	0.268658495	1	2	3	2	2	1.235956585	6	1	0	7	0	0	4	3	0	2	0	2	3	3	4	6	0	1
2002-S-SCHO-2	2002	regrowth	SCHO-2	Scho	Cookadinia	147.1053441	-35.5703949	0	8	2.079441542	0.203614681	2	2	4	2	3	2.527160258	4	3	1	7	1	0	4	4	0	3	0	2	2	4	4	6	1	1
2002-S-SCHO-3	2002	regrowth	SCHO-3	Scho	Cookadinia	147.14954	-35.59397	2.302585093	22	3.091042453	0.411560449	2	2	5	2	3	3.031145761	8	11	3	14	8	0	13	9	0	11	2	3	5	8	14	14	2	6
2002-S-SCHO-4	2002	regrowth	SCHO-4	Scho	Cookadinia	147.1519884	-35.5857634	3.36729583	15	2.708050201	0.308916619	2	2	4	2	3	2.097461535	2	11	2	10	5	0	8	7	0	8	1	3	3	7	8	10	3	2
2002-S-SCHU-1	2002	regrowth	SCHU-1	Schu	Thugga	147.16571	-35.62009	1.609437912	13	2.564949357	0.296994156	2	4	3	2	3	1.370818201	0	10	3	10	3	2	5	5	1	10	2	1	0	8	5	6	3	4
2002-S-SCHU-2	2002	regrowth	SCHU-2	Schu	Thugga	147.17513	-35.62109	1.791759469	16	2.772588722	0.328601453	2	2	4	2	3	2.541952121	6	6	4	9	7	0	10	6	0	10	1	2	3	7	9	9	3	4
